english,german,turkish,spanish,french,arabic,japanese
you,Sie,sen,usted,toi,أنت,君は
i,ich,ben,I,je,أنا,私
the,das,,la,les,ال,インクルード
to,zu,için,a,à,ل,に
a,ein,bir,a,une,أ,A
it,es,o,eso,il,هو - هي,それ
and,und,ve,y,et,و,そして
that,Das,o,que,cette,الذي - التي,それ
of,von,nın-nin,de,de,من,の
is,ist,dır-dir,es,est,هو,あります
in,im,içinde,en,dans,في,に
what,Was,ne,qué,quelle,ماذا او ما,何
we,wir,Biz,nosotros,nous,نحن,我々
me,mich,ben mi,me,moi,أنا,私に
this,diese,bu,esto,cette,هذا,この
he,er,o,él,il,هو,彼
for,zum,için,por,pour,ل,にとって
my,meine,benim,mi,ma,لي,じぶんの
on,auf,üzerinde,en,au,على,オン
have,haben,Sahip olmak,tengo,avoir,لديك,持ってる
your,Ihre,sizin,tu,votre,لك,君の
do,tun,yapmak,hacer,fais,فعل,行う
was,war,oldu,estaba,a été,كنت,ました
m,m,m,metro,m,م,メートル
no,Nein,Hayır,No,non,لا,番号
not,nicht,değil,no,ne pas,ليس,ではありません
be,Sein,olmak,ser,être,يكون,されます
are,sind,Hangi,están,sont,نكون,あります
don,Don,don,don,enfiler,اتشح,ドン
re,Re,yeniden,re,ré,إعادة,再
know,kennt,bilmek,saber,connaître,أعرف,知っています
can,können,Yapabilmek,lata,pouvez,تستطيع,できる
with,mit,ile,con,avec,مع,とともに
but,aber,fakat,pero,mais,لكن,だが
all,alle,herşey,todas,tout,الكل,すべて
so,so,yani,entonces,donc,وبالتالي,そう
just,gerade,sadece,sólo,juste,فقط,ただ
there,Dort,Orada,allí,là,هناك,そこ
here,Hier,İşte,aquí,ici,هنا,ここに
they,Sie,onlar,ellos,elles ou ils,أنهم,彼ら
like,mögen,sevmek,como,aimer,مثل,お気に入り
ll,ll,ll,ll,ll,ليرة لبنانية,LL
get,erhalten,almak,obtener,obtenir,احصل على,取得する
she,sie,o,ella,elle,هي,彼女
go,gehen,Git,ir,va,اذهب,行きます
if,wenn,Eğer,Si,si,إذا,もし
right,Recht,sağ,derecho,droite,حق,正しい
out,aus,dışarı,fuera,en dehors,خارج,でる
about,Über,hakkında,acerca de,à propos de,حول,約
up,oben,yukarı,arriba,en haut,فوق,アップ
at,beim,en,a,à,في,に
him,ihm,onu,él,lui,له,彼を
now,jetzt,şimdi,ahora,à présent,الآن,今
oh,Oh,aman,Oh,Oh,أوه,ああ
one,einer,bir,uno,une,واحد,1
come,Kommen Sie,gel,venir,venir,تأتي,来ます
well,Gut,iyi,bien,bien,نحن سوف,上手
her,ihr,ona,su,sa,ها,彼女の
how,Wie,Nasıl,cómo,comment,كيف,どうやって
yeah,Ja,Evet,Si,Oui,بلى,ええ
ve,ve,ettik,cinco,ve,لقد,VEの
will,werden,niyet,voluntad,volonté,إرادة,意志
got,habe,var,tiene,a obtenu,يملك,GOT
want,wollen,istemek,querer,vouloir,يريد,欲しいです
think,Überlegen,düşünmek,pensar,pense,فكر في,考えます
as,wie,gibi,como,comme,مثل,なので
see,sehen,görmek,ver,voir,يرى,見る
did,tat,yaptı,hizo,a fait,فعلت,した
good,gut,iyi,bien,bien,حسن,良い
who,WHO,DSÖ,OMS,qui,من الذى,WHO
why,Warum,neden,por qué,Pourquoi,لماذا,なぜ
from,von,itibaren,de,de,من عند,から
let,Lassen,İzin Vermek,dejar,laisser,يترك,てみましょう
his,seine,onun,su,le sien,له,彼の
yes,Ja,Evet,sí,Oui,نعم,はい
when,wann,ne zaman,Cuándo,lorsque,متي,いつ
going,gehen,gidiyor,yendo,Aller,ذاهب,行き
time,Zeit,zaman,hora,temps,زمن,時間
an,ein,bir,un,un,ل,AN
okay,in Ordnung,tamam,okey,d'accord,حسنا,はい
back,zurück,geri,espalda,dos,عودة,バック
look,aussehen,bak,Mira,voir,نظرة,外観
us,uns,bize,nosotros,nous,نحن,我ら
would,würde,Would,haría,aurait,سيكون,でしょう
them,Sie,onları,ellos,eux,معهم,それら
where,wo,nerede,dónde,où,أين,どこ
were,wurden,idi,fueron,ont été,كانوا,ました
take,nehmen,almak,llevar,prendre,يأخذ,取る
then,dann,sonra,luego,ensuite,ومن بعد,それから
had,hätten,vardı,tenido,eu,كان,持っていました
or,oder,veya,o,ou alors,أو,若しくは
been,gewesen,olmuştur,estado,été,ايضا,き
our,unsere,bizim,nuestro,notre,لنا,私達の
gonna,Gonna,olacak,ir a,va,سوف,つもり
tell,sagen,söylemek,contar,raconter,يخبار,伝えます
really,Ja wirklich,Gerçekten mi,De Verdad,vraiment,حقا,本当に
man,Mann,adam,hombre,homme,رجل,おとこ
some,etwas,biraz,algunos,quelque,بعض,いくつか
say,sagen,söyle,decir,dire,قل,いう
hey,Hallo,Hey,Oye,Hey,مهلا,ちょっと
could,könnten,abilir,podría,pourrait,يستطع,たぶん......だろう
didn,didn,vermedin,didn,didn,ديدن,didn
by,durch,tarafından,por,par,بواسطة,沿って
need,brauchen,ihtiyaç,necesitar,besoin,يحتاج,必要
something,etwas,bir şey,alguna cosa,quelque chose,شيئا ما,何か
has,hast,vardır,posee,possède,لديها,持っています
too,auch,çok,también,trop,جدا,余りに
more,Mehr,Daha,más,Suite,أكثر,もっと
way,Weg,yol,camino,chemin,طريق,仕方
down,Nieder,aşağı,abajo,vers le bas,تحت,ダウン
make,machen,Yapmak,fabricar,Fabriquer,صنع,メイク
very,sehr,çok,muy,très,جدا,非常に
never,noch nie,asla,Nunca,jamais,مطلقا,決して
only,nur,sadece,solo,seul,فقط,のみ
people,Menschen,insanlar,personas,gens,اشخاص,人
over,Über,bitmiş,encima,plus de,على,オーバー
because,weil,Çünkü,porque,car,لأن,なぜなら
little,wenig,küçük,pequeño,peu,القليل,少し
please,Bitte,Lütfen,por favor,s'il te plaît,من فضلك,お願いします
love,Liebe,Aşk,amor,l'amour,الحب,愛する
should,sollte,meli,debería,devrait,ينبغي,SHOULD
mean,bedeuten,anlamına gelmek,significar,moyenne,يعني,平均
said,sagte,dedim,dicho,mentionné,قال,前記
sorry,Es tut uns leid,afedersiniz,lo siento,Pardon,آسف,ごめんなさい
give,geben,vermek,dar,donner,يعطى,与える
off,aus,kapalı,apagado,désactivé,إيقاف,オフ
am,Uhr,AM,soy,un m,صباحا,午前
thank,danken,teşekkür,agradecer,remercier,شكر,感謝
any,irgendein,hiç,alguna,quelconque,أي,どれか
two,zwei,iki,dos,deux,اثنين,二
even,sogar,hatta,incluso,même,حتى في,さえ
much,viel,çok,mucho,beaucoup,كثير,はるかに
doing,tun,iş,haciendo,Faire,عمل,やっ
sure,sicher,Elbette,seguro,Bien sur,بالتأكيد,承知しました
thing,Sache,şey,cosa,chose,شيء,事
these,diese,bunlar,estas,celles-ci,هؤلاء,これら
help,Hilfe,Yardım,ayuda,aider,يساعد,助けて
first,zuerst,ilk,primero,premier,أول,最初
into,in,içine,dentro,dans,داخل,に
anything,etwas,herhangi bir şey,cualquier cosa,n'importe quoi,اى شى,何でも
still,immer noch,yine,todavía,encore,ما يزال,やはり
find,finden,bulmak,encontrar,trouve,تجد,見つけます
life,Leben,hayat,la vida,vie,الحياة,生活
nothing,nichts,hiçbir şey değil,nada,rien,لا شيئ,何も
sir,Herr,Bayım,señor,Monsieur,سيدي المحترم,お客様
day,Tag,gün,día,journée,يوم,日
god,Gott,Tanrı,Dios,Dieu,الله,神
work,Arbeit,iş,trabaja,travail,الشغل,作業
their,ihr,onların,su,leur,هم,彼らの
uh,äh,ah,Oh,euh,أوه,ええと
again,nochmal,tekrar,de nuevo,de nouveau,تكرارا,再び
maybe,kann sein,olabilir,quizás,peut être,يمكن,多分
must,Muss,zorunlu,deber,doit,يجب,必見
before,Vor,önce,antes de,avant que,قبل,前
other,andere,diğer,otro,autre,آخر,他の
wait,warten,Bekle,Espere,attendre,انتظر,待つ
stop,Stopp,Dur,detener,arrêter,قف,停止
call,Anruf,aramak,llamada,appel,يتصل,コール
after,nach dem,sonra,después,après,بعد,後に
won,gewonnen,kazandı,ganado,Gagné,وون,勝った
talk,sich unterhalten,konuşma,hablar,parlez,حديث,トーク
away,Weg,uzakta,fuera,un moyen,بعيد,先に
than,als,göre,que,que,من,より
thought,habe gedacht,düşünce,pensamiento,pensée,فكر,思想
home,Zuhause,ev,casa,domicile,الصفحة الرئيسية,家
night,Nacht-,gece,noche,nuit,ليلة,夜
put,stellen,koymak,poner,mettre,وضع,置きます
great,groß,harika,estupendo,génial,رائعة,すごい
those,jene,şunlar,esos,ceux,أولئك,それら
last,letzte,son,último,dernier,الاخير,最終
better,besser,daha iyi,mejor,mieux,أفضل,よりよいです
everything,alles,her şey,todo,tout,كل شىء,すべて
told,erzählte,söyledi,dijo,Raconté,أخبر,話しました
mr.,Herr.,Bay.,señor.,M.,السيد.,氏。
new,Neu,yeni,nuevo,Nouveau,الجديد,新着
things,Dinge,bir şeyler,cosas,choses,أشياء,物事
always,immer,her zaman,siempre,toujours,دائما,常に
keep,behalten,Tut,mantenerse,garder,احتفظ,保つ
long,lange,uzun,largo,longue,طويل,長いです
years,Jahre,yıl,años,années,سنوات,年
leave,verlassen,ayrılmak,licencia,quitter,غادر,休暇
does,tut,yapar,lo hace,Est-ce que,يفعل,し
money,Geld,para,dinero,de l'argent,مال,お金
around,um,etrafında,alrededor,environ,حول,周りに
doesn,doesn,doesn,doesn,doesn,فليس,doesnの
name,Name,isim,nombre,Nom,اسم,名前
place,Platz,yer,lugar,endroit,مكان,場所
ever,je,hiç,siempre,jamais,أبدا,今までに
feel,Gefühl,hissetmek,sentir,Ressentir,شعور,感じます
guys,Jungs,adamlar,tipo,les gars,رفاق,みんな
father,Vater,baba,padre,père,الآب,お父さん
guy,Kerl,insan,chico,mec,شاب,男
made,gemacht,yapılmış,hecho,fait,مصنوع,製
old,alt,eski,viejo,vieille,قديم,古い
isn,isn,degil,ISN,ISN,يسن,ISN
which,welche,hangi,cual,lequel,الذي,これ
big,groß,büyük,grande,gros,كبير,大きい
lot,Menge,çok,lote,parcelle,كثيرا,たくさん
done,getan,tamam,hecho,Fini,منجز,行われ
hello,Hallo,Merhaba,Hola,Bonjour,مرحبا,こんにちは
nice,nett,Güzel,bonito,agréable,لطيف,すてきな
believe,glauben,inanmak,creer,croyez,يصدق,信じます
girl,Mädchen,kız,niña,fille,فتاة,女の子
someone,jemand,birisi,alguien,Quelqu'un,شخص ما,誰か
fine,fein,ince,multa,amende,بخير,罰金
thanks,Vielen Dank,Teşekkürler,Gracias,Merci,شكرا,感謝
wanted,wollte,aranan,buscado,recherché,مطلوب,欲しいです
kind,nett,tür,amable,gentil,طيب القلب,種類
coming,Kommen,gelecek,próximo,à venir,آت,到来
house,Haus,ev,casa,loger,منزل,家
every,jeder,her,cada,tous,كل,すべての
ok,OK,Tamam mı,OK,d'accord,نعم,OK
through,durch,vasıtasıyla,mediante,à travers,عبر,使って
being,Sein,olmak,ser,étant,يجري,であること
course,Kurs,kurs,curso,cours,مسار,コース
stay,bleibe,kalmak,permanecer,rester,يقضي,滞在
left,links,ayrıldı,izquierda,la gauche,غادر,左
dad,Papa,baba,padre,papa,بابا,パパ
enough,genug,yeter,suficiente,suffisant,كافية,足りる
happened,passiert,olmuş,sucedió,arrivé,حدث,起こりました
came,kam,geldi,llegó,venu,أتى,来ました
may,kann,Mayıs,mayo,mai,مايو,五月
mother,Mutter,anne,mamá,mère,أم,母
wrong,falsch,yanlış,equivocado,tort,خاطئ,違う
world,Welt,Dünya,mundo,monde,العالمية,世界
bad,Schlecht,kötü,malo,mal,سيئ,悪い
might,Macht,belki,podría,force,قد,かもしれません
three,drei,üç,Tres,Trois,ثلاثة,三
today,heute,bugün,hoy,aujourd'hui,اليوم,今日
listen,Hör mal zu,dinlemek,escuchar,Ecoutez,استمع,聴く
another,Ein weiterer,bir diğeri,otro,une autre,اخر,別の
understand,verstehen,anlama,comprender,comprendre,تفهم,理解する
hear,hören,duymak,escuchar,écouter,سمع,聞く
remember,merken,hatırlamak,recuerda,souviens toi,تذكر,思い出します
ask,Fragen,Sor,pedir,demandez,يطلب,頼みます
own,besitzen,kendi,propio,propre,خاصة,自分の
same,gleich,aynı,mismo,même,نفس,同じ
show,Show,göstermek,show,spectacle,تبين,公演
else,sonst,Başka,demás,autre,آخر,そうしないと
kill,töten,öldürmek,matar,tuer,قتل,殺します
talking,sprechen,konuşma,hablando,parlant,تتحدث,語り
found,gefunden,bulundu,encontró,trouvé,وجدت,ました
next,Nächster,Sonraki,Siguiente,suivant,التالي,次
getting,bekommen,alma,obtener,obtenir,الحصول على,取得
care,Pflege,bakım,cuidado,se soucier,رعاية,お手入れ
car,Wagen,araba,carro,voiture,جمل,車
looking,Suche,seyir,buscando,en regardant,يبحث,見ること
son,Sohn,oğul,hijo,fils,ابن,息子
try,Versuchen,Deneyin,intentar,essayer,يحاول,試します
woman,Frau,Kadın,mujer,femme,النساء,女性
went,ging,gitti,se fue,est allé,ذهب,行ってきました
hi,Hallo,Selam,Hola,salut,أهلا,こんにちは
dead,tot,ölü,muerto,mort,في ذمة الله تعالى,デッド
many,viele,çok,muchos,beaucoup,عديدة,たくさんの
mind,Verstand,zihin,mente,écouter,عقل _ يمانع,マインド
wasn,wasn,degildim,wasn,WASN,اسن,wasn
friend,Freund,arkadaş,amigo,ami,صديق,友人
best,Beste,en iyi,mejor,meilleur,أفضل,ベスト
mom,Mama,anne,mamá,maman,أمي,ママ
hell,Hölle,cehennem,infierno,enfer,الجحيم,地獄
morning,Morgen,sabah,Mañana,Matin,صباح,朝
trying,versuchen,çalışıyor,difícil,en essayant,محاولة,しよう
boy,Junge,oğlan,chico,garçon,صبي,男の子
together,zusammen,birlikte,juntos,ensemble,سويا,一緒
yourself,du selber,kendin,tú mismo,toi-même,نفسك,自分自身
job,Job,iş,trabajo,travail,مهنة,ジョブ
saw,sah,testere,Sierra,vu,رأى,鋸
family,Familie,aile,familia,famille,الأسرة,家族
real,Real,gerçek,verdadero,réel,حقيقة,リアル
without,ohne,olmadan,sin,sans pour autant,بدون,無し
baby,Baby,bebek,bebé,de bébé,طفل,赤ちゃん
room,Zimmer,oda,habitación,chambre,مجال,ルーム
wouldn,wouldn,wouldn,wouldn,wouldn,وولدن],wouldn
already,bereits,zaten,ya,déjà,سابقا,既に
move,Bewegung,hareket,moverse,bouge toi,يتحرك,動き
most,die meisten,çoğu,la mayoría,les plus,عظم,最も
seen,gesehen,görüldü,visto,vu,رأيت,見て
live,wohnen,canlı,En Vivo,habitent,حي,住む
miss,Fräulein,Özlemek,perder,Mademoiselle,يفتقد,お嬢
actually,tatsächlich,aslında,Realmente,en fait,فعلا,実際
huh,huh,ha,eh,hein,هاه,ハァッ
shit,Scheisse,bok,mierda,merde,القرف,うんこ
both,beide,her ikisi de,ambas cosas,tous les deux,على حد سواء,どちらも
heard,gehört,Duymak,Escuchó,entendu,سمع,聞いた
once,Einmal,bir Zamanlar,una vez,une fois que,بمجرد,一度
ready,bereit,hazır,Listo,prêt,جاهز,準備ができて
head,Kopf,kafa,cabeza,diriger,رأس,頭
called,namens,aranan,llamada,appelé,اتصل,呼ばれます
used,benutzt,Kullanılmış,usó,utilisé,تستخدم,中古
idea,Idee,Fikir,ocurrencia,idée,فكرة,考え
knew,wusste,biliyordum,supo,a connu,عرف,知っていました
hold,halt,ambar,mantener,tenir,معلق,ホールド
happy,glücklich,mutlu,contento,heureux,سعيدة,ハッピー
door,Tür,kapı,puerta,porte,باب,ドア
such,eine solche,böyle,semejante,tel,مثل,そのような
fuck,Scheiße,Kahretsin,Mierda,Merde,اللعنة,くそ
brother,Bruder,erkek kardeş,hermano,frère,شقيق,兄